Id,GrLivArea,BedroomAbvGr,FullBath,TotRmsAbvGrd,LotArea,OverallQual,OverallCond,TotalBsmtSF,1stFlrSF,SalePrice
1,1710,3,2,8,8450,7,5,856,856,208500
2,1262,3,2,6,9600,6,8,1262,1262,181500
3,1786,3,2,6,11250,7,5,920,920,223500
4,1717,3,1,7,9550,7,5,756,961,140000
5,2198,4,2,9,14260,8,5,1145,1145,250000
6,1362,1,1,5,14115,5,5,796,796,143000
7,1694,3,2,7,10084,8,5,1686,1694,307000
8,2090,3,2,7,10382,7,6,1107,1107,200000
9,1774,2,2,8,6120,7,5,952,1022,129900
10,1077,2,1,5,7420,5,6,991,1077,118000
11,1040,3,1,5,11200,5,5,1040,1040,129500
12,2324,4,3,11,11924,9,5,1175,1182,345000
13,912,2,1,4,12968,5,6,912,912,144000
14,1494,3,2,7,10652,7,5,1494,1494,279500
15,1253,2,1,5,10920,6,5,1253,1253,157000
16,854,2,1,5,6120,7,8,832,854,132000
17,1004,2,1,5,11241,6,7,1004,1004,149000
18,1296,2,2,6,10791,4,5,0,1296,90000
19,1114,3,1,6,13695,5,5,1114,1114,159000
20,1339,3,1,6,7560,5,6,1029,1339,139000
21,2376,4,3,9,14215,8,5,1158,1158,325300
22,1108,3,1,6,7449,7,7,637,1108,139400
23,1795,3,2,7,9742,8,5,1777,1795,230000
24,1060,3,1,6,4224,5,7,1040,1060,129900
25,1060,3,1,6,8246,5,8,1060,1060,154000
26,1600,3,2,7,14230,8,5,1566,1600,256300
27,900,3,1,5,7200,5,7,900,900,134800
28,1704,3,2,7,11478,8,5,1704,1704,306000
29,1600,2,1,6,16321,5,6,1484,1600,207500
30,520,1,1,4,6324,4,6,520,520,68500
31,1317,3,1,6,8500,4,4,649,649,40000
32,1228,3,1,6,8544,5,6,1228,1228,149350
33,1234,3,2,7,11049,8,5,1234,1234,179900
34,1700,4,1,6,10552,5,5,1398,1700,165500
35,1561,2,2,6,7313,9,5,1561,1561,277500
36,2452,4,3,9,13418,8,5,1117,1132,309000
37,1097,3,1,6,10859,5,5,1097,1097,145000
38,1297,3,1,5,8532,5,6,1297,1297,153000
39,1057,3,1,5,7922,5,7,1057,1057,109000
40,1152,2,2,6,6040,4,5,0,1152,82000
41,1324,3,2,6,8658,6,5,1088,1324,160000
42,1328,2,1,5,16905,5,6,1350,1328,170000
43,884,2,1,5,9180,5,7,840,884,144000
44,938,3,1,5,9200,5,6,938,938,130250
45,1150,3,1,6,7945,5,6,1150,1150,141000
46,1752,2,2,6,7658,9,5,1752,1752,319900
47,2149,1,1,6,12822,7,5,1434,1518,239686
48,1656,3,2,7,11096,8,5,1656,1656,249700
49,1452,2,2,8,4456,4,5,736,736,113000
50,955,3,1,6,7742,5,7,955,955,127000
51,1470,3,2,6,13869,6,6,794,794,177000
52,1176,3,1,6,6240,6,6,816,816,114500
53,816,2,1,5,8472,5,5,816,816,110000
54,1842,0,0,5,50271,9,5,1842,1842,385000
55,1360,3,1,6,7134,5,5,384,1360,130000
56,1425,3,2,7,10175,6,5,1425,1425,180500
57,1739,3,2,7,2645,8,5,970,983,172500
58,1720,3,2,7,11645,7,5,860,860,196500
59,2945,3,3,10,13682,10,5,1410,1426,438780
60,780,2,1,4,7200,5,7,780,780,124900
61,1158,3,1,5,13072,6,5,1158,1158,158000
62,1111,3,1,6,7200,5,7,530,581,101000
63,1370,2,2,6,6442,8,5,1370,1370,202500
64,1710,3,2,9,10300,7,6,576,902,140000
65,2034,3,2,8,9375,7,5,1057,1057,219500
66,2473,4,2,9,9591,8,5,1143,1143,317000
67,2207,3,2,7,19900,7,5,1947,2207,180000
68,1479,3,2,7,10665,7,5,1453,1479,226000
69,747,2,1,4,4608,4,6,747,747,80000
70,2287,3,2,7,15593,7,4,1304,1304,225000
71,2223,3,2,8,13651,7,6,2223,2223,244000
72,845,2,1,4,7599,4,6,845,845,129500
73,1718,3,2,7,10141,7,5,832,885,185000
74,1086,3,1,6,10200,5,7,1086,1086,144900
75,1605,3,2,8,5790,3,6,840,840,107400
76,988,2,1,5,1596,4,5,462,526,91000
77,952,2,1,4,8475,4,7,952,952,135750
78,1285,2,1,6,8635,5,5,672,1072,127000
79,1768,4,2,8,10778,4,5,1768,1768,136500
80,1230,2,1,5,10440,5,6,440,682,110000
81,2142,4,2,8,13000,6,6,896,1182,193500
82,1337,2,2,5,4500,6,5,1237,1337,153500
83,1563,3,2,6,10206,8,5,1563,1563,245000
84,1065,3,1,6,8892,5,5,1065,1065,126500
85,1474,3,2,7,8530,7,5,384,804,168500
86,2417,4,2,9,16059,8,5,1288,1301,260000
87,1560,3,2,6,11911,6,5,684,684,174000
88,1224,2,2,4,3951,6,5,612,612,164500
89,1526,2,1,6,8470,3,2,1013,1013,85000
90,990,3,1,5,8070,4,5,990,990,123600
91,1040,2,1,4,7200,4,5,0,1040,109900
92,1235,2,1,6,8500,5,3,1235,1235,98600
93,964,2,1,5,13360,5,7,876,964,163500
94,2291,4,2,9,7200,6,6,1214,1260,133900
